# STN,YYYYMMDD,   RH, EV24
# 
  348,20020311,    0,   18
  348,20020312,   15,   11
  348,20020313,   33,    2
  348,20020314,    1,   11
  348,20020315,    0,    8
  348,20020316,    0,   20
  348,20020317,   44,    7
  348,20020318,   81,    6
  348,20020319,    8,   15
  348,20020320,   74,   10
  348,20020321,    5,   16
  348,20020322,   -1,    8
  348,20020323,    0,   17
  348,20020324,    0,   15
  348,20020325,    0,   18
  348,20020326,    0,    9
  348,20020327,    0,   22
  348,20020328,    0,   24
  348,20020329,    0,   25
  348,20020330,    0,   14
  348,20020331,    0,   20
  348,20020401,    0,   25
  348,20020402,    0,   28
  348,20020403,    0,   29
  348,20020404,    0,   27
  348,20020405,    0,   29
  348,20020406,    0,   26
  348,20020407,    0,   27
  348,20020408,    0,   28
  348,20020409,    1,   14
  348,20020410,    0,   24
  348,20020411,    0,   19
  348,20020412,    0,   25
  348,20020413,    0,   17
  348,20020414,   24,   16
  348,20020415,   67,    6
  348,20020416,   58,   10
  348,20020417,    5,   12
  348,20020418,   -1,   17
  348,20020419,    0,   28
  348,20020420,    0,   18
  348,20020421,    0,   31
  348,20020422,    0,   27
  348,20020423,    0,   33
  348,20020424,    0,   31
  348,20020425,    0,   21
  348,20020426,  120,    9
  348,20020427,    5,   25
  348,20020428,   88,   14
  348,20020429,   18,   20
  348,20020430,   75,   10
  348,20020501,   20,   28
  348,20020502,   18,   17
  348,20020503,    0,   25
  348,20020504,    0,    8
  348,20020505,   21,    7
  348,20020506,   11,   18
  348,20020507,    0,   40
  348,20020508,    0,   33
  348,20020509,    0,   32
  348,20020510,    1,   13
  348,20020511,    0,    8
  348,20020512,    1,   13
  348,20020513,    6,   39
  348,20020514,   24,   21
  348,20020515,    0,   36
  348,20020516,    0,   44
  348,20020517,    0,   45
  348,20020518,   -1,   16
  348,20020519,    0,   32
  348,20020520,    0,   37
  348,20020521,    0,   36
  348,20020522,   81,    7
  348,20020523,    0,   40
  348,20020524,   16,   16
